id,group,phase,all_passed,error,empty_center_passed,fibonacci_ratio_passed,zone_balance_passed,density_gradient_passed,hydrophobic_core_passed
ufoe_0000,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0001,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0002,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0003,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0004,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0005,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0006,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0007,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0008,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0009,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0010,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0011,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0012,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0013,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0014,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0015,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0016,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0017,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0018,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0019,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0020,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0021,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0022,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0023,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0024,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0025,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0026,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0027,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0028,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0029,UFoE,2a,False,PDB not found,False,False,False,False,False
ufoe_0030,UFoE,2a,False,PDB not found,False,False,False,False,False
